BT1:1
BZ1:1
C1:1
C2:1
C3:1
ELEGOO_ESP1:1
PD1:1
R1:1
R2:1
SD_READER1:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
TFT1:1
